,zip,county_fip,res_ratio,bus_ratio,oth_ratio,tot_ratio
0,00660,72067,0.9994145199,1.0,1.0,0.999445061
1,00669,72081,1.0,1.0,1.0,1.0
2,00704,72123,1.0,1.0,1.0,1.0
3,00729,72029,0.9685070601,0.9841269841,0.9932885906,0.9696543557
4,00728,72113,1.0,1.0,1.0,1.0
5,00730,72113,1.0,1.0,1.0,1.0
6,00735,72037,1.0,1.0,1.0,1.0
7,00739,72041,0.9990514584,1.0,1.0,0.9991065446
8,00766,72149,1.0,1.0,1.0,1.0
9,00772,72087,1.0,1.0,1.0,1.0
10,00794,72019,0.994966443,0.9747126437,0.976744186,0.9930043486
11,00920,72127,0.9934445769,0.9621993127,0.9619047619,0.9853265666
12,00957,72021,0.9984346465,1.0,1.0,0.998524439
14,01475,25027,1.0,1.0,1.0,1.0
15,01721,25017,1.0,1.0,1.0,1.0
16,01778,25017,1.0,1.0,1.0,1.0
17,01821,25017,1.0,1.0,1.0,1.0
18,01831,25009,1.0,1.0,1.0,1.0
19,01844,25009,1.0,1.0,1.0,1.0
20,01851,25017,1.0,1.0,1.0,1.0
21,01852,25017,1.0,1.0,1.0,1.0
22,01862,25017,1.0,1.0,1.0,1.0
23,01938,25009,1.0,1.0,1.0,1.0
24,01945,25009,1.0,1.0,1.0,1.0
25,02026,25021,0.9992236778,1.0,1.0,0.9993181624
26,02054,25021,0.9904191617,1.0,1.0,0.9913723376
27,02081,25021,1.0,1.0,1.0,1.0
28,02111,25025,1.0,1.0,1.0,1.0
29,02126,25025,1.0,1.0,1.0,1.0
30,02134,25025,1.0,1.0,1.0,1.0
31,02143,25017,1.0,1.0,1.0,1.0
32,02150,25025,0.9994116349,0.9607371795,1.0,0.9963981043
33,02170,25021,1.0,1.0,1.0,1.0
34,02186,25021,0.9998993761,1.0,1.0,0.999905321
35,02191,25021,1.0,1.0,1.0,1.0
36,02339,25023,1.0,1.0,1.0,1.0
37,02347,25023,0.9981571067,1.0,1.0,0.9983111674
38,02368,25021,1.0,1.0,1.0,1.0
39,02476,25017,1.0,1.0,1.0,1.0
40,02584,25019,1.0,1.0,1.0,1.0
41,02638,25001,1.0,1.0,1.0,1.0
42,02646,25001,1.0,1.0,1.0,1.0
43,02667,25001,1.0,1.0,1.0,1.0
44,02673,25001,1.0,1.0,1.0,1.0
45,03038,33015,1.0,1.0,1.0,1.0
46,03054,33011,1.0,1.0,1.0,1.0
47,03084,33011,1.0,1.0,1.0,1.0
48,03455,33005,1.0,1.0,1.0,1.0
49,03470,33005,1.0,1.0,1.0,1.0
50,03451,33005,1.0,1.0,1.0,1.0
51,03581,33007,1.0,1.0,1.0,1.0
52,03464,33005,1.0,1.0,1.0,1.0
53,03576,33007,1.0,1.0,1.0,1.0
54,03108,33011,1.0,1.0,1.0,1.0
55,03221,33013,1.0,1.0,1.0,1.0
56,03223,33009,1.0,1.0,1.0,1.0
57,03243,33013,0.9539951574,0.75,1.0,0.9523809524
58,03235,33013,1.0,1.0,1.0,1.0
59,03774,33009,1.0,1.0,1.0,1.0
60,03801,33015,1.0,1.0,1.0,1.0
61,03841,33015,1.0,1.0,1.0,1.0
62,04071,23005,1.0,1.0,1.0,1.0
63,04066,23005,1.0,1.0,1.0,1.0
64,04005,23031,1.0,1.0,1.0,1.0
65,04021,23005,1.0,1.0,1.0,1.0
66,03867,33017,1.0,1.0,1.0,1.0
67,03901,23031,1.0,1.0,1.0,1.0
68,03870,33015,1.0,1.0,1.0,1.0
69,03864,33003,1.0,1.0,1.0,1.0
70,04224,23017,0.7607913669,0.8333333333,0.6153846154,0.758650519
72,04462,23019,1.0,1.0,1.0,1.0
73,04476,23009,1.0,1.0,1.0,1.0
74,04434,23019,1.0,1.0,1.0,1.0
75,04449,23019,1.0,1.0,1.0,1.0
76,04443,23021,1.0,1.0,1.0,1.0
77,04332,23011,1.0,1.0,1.0,1.0
78,04428,23019,1.0,1.0,1.0,1.0
79,04427,23019,1.0,1.0,1.0,1.0
80,04260,23005,0.9981600736,1.0,1.0,0.9982913285
81,04252,23001,0.9977678571,1.0,1.0,0.9979575163
82,04256,23001,1.0,1.0,1.0,1.0
83,04694,23029,1.0,1.0,1.0,1.0
84,04739,23003,1.0,1.0,1.0,1.0
85,04652,23029,1.0,1.0,1.0,1.0
86,04614,23009,1.0,1.0,1.0,1.0
87,04607,23009,1.0,1.0,1.0,1.0
88,04623,23029,1.0,1.0,1.0,1.0
89,04685,23009,1.0,1.0,1.0,1.0
90,05201,50003,1.0,1.0,1.0,1.0
91,05161,50027,0.9736842105,1.0,1.0,0.9741100324
92,04951,23027,1.0,1.0,1.0,1.0
93,05001,50027,1.0,1.0,1.0,1.0
94,04976,23025,1.0,1.0,1.0,1.0
95,04947,23007,1.0,1.0,1.0,1.0
96,04943,23025,1.0,1.0,1.0,1.0
97,05051,50017,1.0,1.0,1.0,1.0
98,04985,23025,1.0,1.0,1.0,1.0
99,04945,23025,1.0,1.0,1.0,1.0
100,04854,23013,1.0,1.0,1.0,1.0
101,04864,23013,1.0,1.0,1.0,1.0
102,04930,23019,0.8925438596,0.9932432432,0.9153846154,0.8995308835
103,05401,50007,1.0,1.0,1.0,1.0
104,05402,50007,1.0,1.0,1.0,1.0
105,05778,50001,0.9913544669,1.0,1.0,0.991643454
106,05775,50021,0.8759398496,0.75,1.0,0.8754578755
107,05602,50023,1.0,1.0,1.0,1.0
108,05658,50023,0.9930555556,0.9545454545,1.0,0.9916943522
109,05679,50017,1.0,1.0,1.0,1.0
110,05674,50023,1.0,1.0,1.0,1.0
111,05682,50023,1.0,1.0,1.0,1.0
112,05669,50023,0.8631178707,1.0,1.0,0.8671586716
113,05459,50011,1.0,1.0,1.0,1.0
114,05468,50007,0.8200925569,0.9476744186,0.958041958,0.8276676968
115,05860,50019,1.0,1.0,1.0,1.0
116,05904,50009,1.0,1.0,1.0,1.0
117,05872,50019,1.0,1.0,1.0,1.0
118,01008,25013,0.9644351464,0.95,1.0,0.9642147117
119,01226,25003,1.0,1.0,1.0,1.0
120,01108,25013,1.0,1.0,1.0,1.0
121,01253,25003,1.0,1.0,1.0,1.0
122,01057,25013,1.0,1.0,1.0,1.0
123,01022,25013,1.0,1.0,1.0,1.0
124,01030,25013,1.0,1.0,1.0,1.0
125,01035,25015,1.0,1.0,1.0,1.0
126,01301,25011,1.0,1.0,1.0,1.0
127,02703,25005,1.0,1.0,1.0,1.0
