,state,state_fips,city,city_fips,county_fips,county,county_fips_1,county_1,county_full
0,AL,01,Abanda,100,017,Chambers County,017,Chambers County,01017
1,AL,01,Abbeville,124,067,Henry County,067,Henry County,01067
2,AL,01,Adamsville,460,073,Jefferson County,073,Jefferson County,01073
3,AL,01,Addison,484,133,Winston County,133,Winston County,01133
4,AL,01,Akron,676,065,Hale County,065,Hale County,01065
5,AL,01,Alabaster,820,117,Shelby County,117,Shelby County,01117
6,AL,01,Albertville,988,095,Marshall County,095,Marshall County,01095
7,AL,01,Alexander City,1132,123,Tallapoosa County,123,Tallapoosa County,01123
8,AL,01,Alexandria,1180,015,Calhoun County,015,Calhoun County,01015
9,AL,01,Aliceville,1228,107,Pickens County,107,Pickens County,01107
10,AL,01,Allgood,1396,009,Blount County,009,Blount County,01009
11,AL,01,Altoona,1660,"009,055","Blount County, Etowah County",009,Blount County,01009
12,AL,01,Andalusia,1708,039,Covington County,039,Covington County,01039
13,AL,01,Anderson,1756,077,Lauderdale County,077,Lauderdale County,01077
14,AL,01,Anniston,1852,015,Calhoun County,015,Calhoun County,01015
15,AL,01,Arab,2116,"043,095","Cullman County, Marshall County",043,Cullman County,01043
16,AL,01,Ardmore,2260,083,Limestone County,083,Limestone County,01083
17,AL,01,Argo,2320,"073,115","Jefferson County, St. Clair County",073,Jefferson County,01073
18,AL,01,Ariton,2428,045,Dale County,045,Dale County,01045
19,AL,01,Arley,2500,133,Winston County,133,Winston County,01133
20,AL,01,Ashford,2836,069,Houston County,069,Houston County,01069
21,AL,01,Ashland,2860,027,Clay County,027,Clay County,01027
22,AL,01,Ashville,2908,115,St. Clair County,115,St. Clair County,01115
23,AL,01,Athens,2956,083,Limestone County,083,Limestone County,01083
24,AL,01,Atmore,3004,053,Escambia County,053,Escambia County,01053
25,AL,01,Attalla,3028,055,Etowah County,055,Etowah County,01055
26,AL,01,Auburn,3076,081,Lee County,081,Lee County,01081
27,AL,01,Autaugaville,3220,001,Autauga County,001,Autauga County,01001
28,AL,01,Avon,3364,069,Houston County,069,Houston County,01069
29,AL,01,Axis,3508,097,Mobile County,097,Mobile County,01097
30,AL,01,Babbie,3556,039,Covington County,039,Covington County,01039
31,AL,01,Baileyton,3676,043,Cullman County,043,Cullman County,01043
32,AL,01,Bakerhill,3724,005,Barbour County,005,Barbour County,01005
33,AL,01,Ballplay,3820,055,Etowah County,055,Etowah County,01055
34,AL,01,Banks,3940,109,Pike County,109,Pike County,01109
35,AL,01,Bay Minette,4660,003,Baldwin County,003,Baldwin County,01003
36,AL,01,Bayou La Batre,4684,097,Mobile County,097,Mobile County,01097
37,AL,01,Bear Creek,4852,093,Marion County,093,Marion County,01093
38,AL,01,Beatrice,4900,099,Monroe County,099,Monroe County,01099
39,AL,01,Beaverton,4948,075,Lamar County,075,Lamar County,01075
40,AL,01,Belgreen,5140,059,Franklin County,059,Franklin County,01059
41,AL,01,Belk,5164,057,Fayette County,057,Fayette County,01057
42,AL,01,Bellamy,5188,119,Sumter County,119,Sumter County,01119
43,AL,01,Belle Fontaine,5212,097,Mobile County,097,Mobile County,01097
44,AL,01,Benton,5692,085,Lowndes County,085,Lowndes County,01085
45,AL,01,Berry,5932,057,Fayette County,057,Fayette County,01057
46,AL,01,Bessemer,5980,073,Jefferson County,073,Jefferson County,01073
47,AL,01,Billingsley,6460,001,Autauga County,001,Autauga County,01001
48,AL,01,Birmingham,7000,"073,117","Jefferson County, Shelby County",073,Jefferson County,01073
49,AL,01,Black,7120,061,Geneva County,061,Geneva County,01061
50,AL,01,Blountsville,7456,009,Blount County,009,Blount County,01009
51,AL,01,Blue Ridge,7588,051,Elmore County,051,Elmore County,01051
52,AL,01,Blue Springs,7672,005,Barbour County,005,Barbour County,01005
53,AL,01,Boaz,7912,"055,095","Etowah County, Marshall County",055,Etowah County,01055
54,AL,01,Boligee,8104,063,Greene County,063,Greene County,01063
55,AL,01,Bon Air,8248,121,Talladega County,121,Talladega County,01121
56,AL,01,Boykin,8680,131,Wilcox County,131,Wilcox County,01131
57,AL,01,Brantley,9016,041,Crenshaw County,041,Crenshaw County,01041
58,AL,01,Brantleyville,9064,117,Shelby County,117,Shelby County,01117
59,AL,01,Brent,9136,007,Bibb County,007,Bibb County,01007
60,AL,01,Brewton,9208,053,Escambia County,053,Escambia County,01053
61,AL,01,Bridgeport,9328,071,Jackson County,071,Jackson County,01071
62,AL,01,Brighton,9400,073,Jefferson County,073,Jefferson County,01073
63,AL,01,Brilliant,9424,093,Marion County,093,Marion County,01093
64,AL,01,Bristow Cove,9457,055,Etowah County,055,Etowah County,01055
65,AL,01,Brook Highland,9500,117,Shelby County,117,Shelby County,01117
66,AL,01,Brookside,9736,073,Jefferson County,073,Jefferson County,01073
67,AL,01,Brookwood,9808,125,Tuscaloosa County,125,Tuscaloosa County,01125
68,AL,01,Broomtown,9880,019,Cherokee County,019,Cherokee County,01019
69,AL,01,Brundidge,10240,109,Pike County,109,Pike County,01109
70,AL,01,Bucks,10456,097,Mobile County,097,Mobile County,01097
71,AL,01,Butler,11032,023,Choctaw County,023,Choctaw County,01023
72,AL,01,Calera,11416,"021,117","Chilton County, Shelby County",021,Chilton County,01021
73,AL,01,Calvert,11488,"097,129","Mobile County, Washington County",097,Mobile County,01097
74,AL,01,Camden,11512,131,Wilcox County,131,Wilcox County,01131
75,AL,01,Camp Hill,11680,123,Tallapoosa County,123,Tallapoosa County,01123
76,AL,01,Carbon Hill,12016,127,Walker County,127,Walker County,01127
77,AL,01,Cardiff,12040,073,Jefferson County,073,Jefferson County,01073
78,AL,01,Carlisle-Rockledge,12070,055,Etowah County,055,Etowah County,01055
79,AL,01,Carlton,12112,025,Clarke County,025,Clarke County,01025
80,AL,01,Carolina,12160,039,Covington County,039,Covington County,01039
81,AL,01,Carrollton,12304,107,Pickens County,107,Pickens County,01107
82,AL,01,Castleberry,12496,035,Conecuh County,035,Conecuh County,01035
83,AL,01,Catherine,12544,131,Wilcox County,131,Wilcox County,01131
84,AL,01,Cedar Bluff,12760,019,Cherokee County,019,Cherokee County,01019
85,AL,01,Center Point,13264,073,Jefferson County,073,Jefferson County,01073
86,AL,01,Centre,13648,019,Cherokee County,019,Cherokee County,01019
87,AL,01,Centreville,13672,007,Bibb County,007,Bibb County,01007
88,AL,01,Chatom,14008,129,Washington County,129,Washington County,01129
89,AL,01,Chelsea,14104,117,Shelby County,117,Shelby County,01117
90,AL,01,Cherokee,14152,033,Colbert County,033,Colbert County,01033
91,AL,01,Chickasaw,14392,097,Mobile County,097,Mobile County,01097
92,AL,01,Childersburg,14464,121,Talladega County,121,Talladega County,01121
93,AL,01,Choccolocco,14728,015,Calhoun County,015,Calhoun County,01015
94,AL,01,Chunchula,14968,097,Mobile County,097,Mobile County,01097
95,AL,01,Citronelle,15064,097,Mobile County,097,Mobile County,01097
96,AL,01,Clanton,15136,021,Chilton County,021,Chilton County,01021
97,AL,01,Clay,15256,073,Jefferson County,073,Jefferson County,01073
98,AL,01,Clayhatchee,15304,045,Dale County,045,Dale County,01045
99,AL,01,Clayton,15376,005,Barbour County,005,Barbour County,01005
100,AL,01,Cleveland,15472,009,Blount County,009,Blount County,01009
101,AL,01,Clio,15640,005,Barbour County,005,Barbour County,01005
102,AL,01,Coaling,16000,125,Tuscaloosa County,125,Tuscaloosa County,01125
103,AL,01,Coats Bend,16080,055,Etowah County,055,Etowah County,01055
104,AL,01,Coffee Springs,16240,061,Geneva County,061,Geneva County,01061
105,AL,01,Coffeeville,16264,025,Clarke County,025,Clarke County,01025
